Engine_RPM,Lub_Oil_Pressure,Fuel_Pressure,Coolant_Pressure,Lub_Oil_Temperature,Coolant_Temperature
594,4.257075878,3.606284164,2.382497541,88.15126656,85.64043593
841,5.026886206,4.84644277,1.807729079,77.6605324,91.72750724
546,4.53997054,6.441777845,1.38472139,77.785426,81.14802695
553,3.464157273,1.44006373,2.041477744,77.53405627,72.14714614
572,2.6546409,13.29891868,1.468507132,75.78404582,86.49121233
952,2.475717378,12.51508636,1.168807828,76.33512281,89.046067
510,3.965642704,6.241268924,2.391228793,77.01968636,70.79978155
1200,3.21932664,6.379252777,1.325301069,77.81346261,85.92713017
751,4.189182457,5.903979159,1.830926556,81.41706437,71.43578135
838,3.100877443,5.703170873,2.628098452,75.47467704,74.89840047
664,4.39441753,5.282015573,1.9636319,75.65215291,87.96388768
1265,4.427966249,6.279419265,1.782532853,86.11875211,87.3388135
809,1.869707074,6.827792824,4.770635457,75.22341956,82.91842694
845,4.149555674,5.639704687,3.248632693,76.99278052,85.11160449
719,2.017078278,5.834444099,2.694692232,75.94222674,78.82772512
1413,5.30875283,6.118039216,2.540644614,75.80539708,86.46019338
1156,4.108144835,5.396624116,3.06941755,75.6653431,88.24018877
414,3.79871973,6.391071938,1.673148393,78.38211837,87.43095912
667,2.46132461,5.361071088,0.087759439,86.00694994,89.02614593
1099,2.161373503,10.37660589,1.11647312,78.21243822,64.72257203
697,2.566766874,6.003071704,1.527054959,76.77797907,75.59787709
806,3.451883745,7.449341483,1.845688725,73.34738182,69.05843991
407,2.406172207,3.915681438,1.779746755,84.74432597,66.66428979
922,2.307192335,4.761911424,1.384798264,74.35066879,75.54142207
614,2.086895631,14.02218227,1.249489541,82.2891002,75.20428439
634,2.991804137,6.085666765,1.786930591,77.10124986,66.38219765
1117,3.57706831,8.010292444,3.526571085,83.84839533,73.08847129
852,2.661595334,6.429825781,1.967323555,76.04885956,86.09492694
598,4.56148081,5.075720891,1.518479455,76.76599588,72.7108159
1174,2.037427269,4.645388104,4.779176448,80.62849563,71.05044458
474,2.936739781,4.246148231,1.233374256,77.1697816,77.59322083
613,2.903659294,4.50142284,3.195278,75.86348488,78.06501246
834,4.636232357,7.276154415,1.316753573,73.87266934,74.97670672
701,5.980836069,6.76736809,3.17458792,77.40436947,70.27375277
744,3.173391813,4.234501647,1.513628314,77.30107287,76.67499759
791,2.845022586,7.256339372,1.098247742,75.8150619,78.06320195
472,2.710782338,9.085493807,2.765735722,76.51249023,72.426407
1085,3.479050151,4.294771271,1.991101341,77.64944688,65.40826005
624,5.260815068,6.50252374,1.440062434,73.37439527,65.87993007
853,1.697750719,2.195373924,2.140910514,75.23974353,84.82111502
742,2.514248462,11.25511835,2.4568177,77.29730509,84.81035997
536,3.822196959,4.091437747,1.335367646,77.35199599,81.90138134
378,4.292083138,4.349342004,2.13450383,77.15800137,88.48737695
840,2.657240404,5.240269536,1.400950239,81.94528547,71.85017547
516,2.013522885,7.454224351,0.999647412,76.27352111,72.96433939
725,3.274450159,6.924433031,3.596950639,76.56453588,80.65373391
392,4.047989298,5.521011136,3.06641179,78.77582781,77.16657185
435,2.014931433,7.186192509,1.888994038,75.86372387,85.00130187
934,3.502889634,5.044080933,1.284398343,77.5397064,77.22382937
1044,3.070378829,9.233672983,3.988014761,81.3670451,72.1032327
707,3.111563364,7.506011805,1.253672876,83.35227283,74.99679528
613,2.619030733,5.349194579,1.290356508,75.04503042,80.95070752
1000,2.737609237,7.050306008,2.978768876,77.64083501,70.93576487
572,2.610926118,7.067963165,4.153282101,74.36514409,77.4785745
812,2.451346107,8.594091041,3.201263794,76.60818917,77.17774042
498,2.898922894,9.154742308,0.346312391,74.51494298,80.00577609
844,2.492872856,8.643602269,1.377421509,74.78711792,78.15677114
543,4.96197317,12.60002407,3.21645338,77.0952949,74.40073049
795,2.753153267,5.511826188,1.513262436,74.81498359,74.64764934
702,3.364067177,5.42747446,2.235672119,78.85650782,87.04648139
554,2.105938555,10.43731229,1.480089112,75.49640719,76.0334424
915,4.397695058,5.189004631,2.269968472,77.23915076,85.06969864
1413,3.597927386,6.420913374,1.33537967,72.6310899,65.30966577
440,0.467066177,7.167337327,3.035270279,75.60729414,73.20269147
554,3.434187857,3.935704913,2.255007669,75.25052961,83.22771529
972,2.951069014,8.512802574,2.664874891,76.17985552,75.71325592
779,2.022409872,13.7865859,1.026768907,77.1271708,84.85805631
868,4.134633475,10.79986197,1.795587494,74.30661081,82.17034248
596,2.377026133,4.259547464,1.145969071,76.68650945,77.17053556
1001,3.602950532,5.645136069,2.665976571,75.92280433,80.18772786
955,4.963756234,9.417035289,1.527089416,76.73362152,77.30735785
732,2.262250873,9.533786876,2.925637379,77.08496061,90.18102618
504,4.535086028,11.25812855,1.574653734,75.49622043,66.82228033
798,4.330421515,8.733109383,1.888376326,76.82360694,85.90657506
412,4.730226649,6.713341851,1.486604454,77.17364879,84.30883022
616,2.799225422,4.36665414,6.100154472,75.90989447,89.15228767
780,2.516938745,7.654210759,2.514785011,81.02196896,81.32114318
570,2.437633901,7.519170734,1.779570142,75.59293132,66.05515292
687,5.658418966,8.712697679,2.569848859,75.36122144,75.6485461
625,4.778378545,4.029163811,0.113936945,77.7600425,73.86826652
461,2.648378058,7.529118475,2.290114633,82.31276907,65.74667254
1180,2.439516656,5.976814549,2.571017026,84.7258768,79.94944367
498,4.882976856,6.657981054,1.87243571,77.67310987,76.30162307
635,2.797070639,4.490086124,1.551111048,76.91609054,67.32708855
450,2.814285683,6.066405919,2.484817165,76.81751268,81.26253918
645,5.156131646,6.431238458,2.585693107,75.49768255,79.57096547
737,3.622098489,8.72302626,3.008592278,73.8226128,82.84840888
1515,2.023511801,4.798883392,2.291899271,74.73909882,85.57774829
967,5.019605624,7.791592228,2.457673732,76.72949969,71.57082091
371,2.612078412,4.616556372,2.076737445,75.24957303,78.84993125
940,3.752650887,7.580011865,2.761951815,83.44499341,76.22949081
403,2.003588922,3.162665177,3.055654594,77.5499966,78.29383548
1089,2.725300475,13.376654,2.219507717,75.95855978,74.78036457
948,4.215757135,2.905548218,0.765125196,75.08034234,76.72273405
872,3.296687404,5.515286265,0.941602145,78.00428921,74.36331114
670,5.399662923,7.200570664,1.401353715,77.68972825,69.57804866
1118,2.504890722,4.615589026,4.902938594,77.00572266,74.76801153
1086,3.400075097,11.57803246,1.507376451,76.7394094,75.7799638
863,2.503027814,7.645533692,1.780864124,81.95045433,90.79108885
